JJAGMNAF_00001	BHNFMJIF_02495	100.000	468	1	468	1	1404	0.0	971	468	1407	100
JJAGMNAF_00002	BHNFMJIF_02494	99.593	246	1	246	1	738	0.0	514	246	741	100
JJAGMNAF_00002	BHNFMJIF_01038	27.273	176	1	176	10	495	2.93e-13	63.2	246	501	72
JJAGMNAF_00002	BHNFMJIF_00548	27.072	181	1	175	121	612	1.44e-11	59.3	246	630	71
JJAGMNAF_00003	BHNFMJIF_02493	99.764	848	1	848	1	2544	0.0	1650	848	2547	100
JJAGMNAF_00003	BHNFMJIF_03814	24.803	254	392	642	1855	2484	5.20e-07	50.4	848	2520	30
JJAGMNAF_00004	BHNFMJIF_02492	99.900	1001	1	1001	1	3003	0.0	1958	1001	3006	100
JJAGMNAF_00005	BHNFMJIF_02491	100.000	122	1	122	1	366	1.49e-91	257	122	369	100
JJAGMNAF_00006	BHNFMJIF_02490	100.000	293	1	293	1	879	0.0	611	293	882	100
JJAGMNAF_00006	BHNFMJIF_01289	25.683	183	25	190	73	588	2.55e-07	48.1	293	831	57
JJAGMNAF_00007	BHNFMJIF_02489	100.000	341	1	341	1	1023	0.0	710	341	1026	100
JJAGMNAF_00007	BHNFMJIF_02685	24.068	295	4	296	22	885	8.93e-21	88.2	341	906	86
JJAGMNAF_00007	BHNFMJIF_01806	22.973	222	4	219	7	621	2.14e-06	45.8	341	900	63
JJAGMNAF_00008	BHNFMJIF_02488	100.000	438	1	438	1	1314	0.0	907	438	1317	100
JJAGMNAF_00008	BHNFMJIF_01712	27.436	390	8	388	46	1215	4.23e-50	173	438	1371	87
JJAGMNAF_00008	BHNFMJIF_03257	27.132	387	16	392	28	1146	3.46e-32	124	438	1299	86
JJAGMNAF_00009	BHNFMJIF_02487	100.000	557	1	557	1	1671	0.0	1147	557	1674	100
JJAGMNAF_00009	BHNFMJIF_02778	48.014	554	2	554	1	1653	0.0	554	557	1659	99
JJAGMNAF_00009	BHNFMJIF_00100	45.946	555	2	556	7	1662	2.35e-180	517	557	1665	99
JJAGMNAF_00009	BHNFMJIF_01394	25.768	586	23	552	73	1764	1.42e-40	152	557	1806	95
JJAGMNAF_00009	BHNFMJIF_00342	25.161	465	32	470	103	1386	3.10e-26	109	557	1656	79
JJAGMNAF_00011	BHNFMJIF_02485	100.000	230	1	230	1	690	9.50e-172	469	230	693	100
JJAGMNAF_00012	BHNFMJIF_02484	100.000	147	1	147	1	441	8.20e-103	288	147	444	100
JJAGMNAF_00013	BHNFMJIF_02483	100.000	89	1	89	1	267	7.78e-63	182	89	270	100
JJAGMNAF_00014	BHNFMJIF_02482	100.000	114	1	114	1	342	3.09e-81	231	114	345	100
JJAGMNAF_00015	BHNFMJIF_02481	99.324	148	1	148	1	444	2.40e-107	299	148	447	100
JJAGMNAF_00016	BHNFMJIF_02480	100.000	60	1	60	1	180	8.70e-16	61.6	60	183	100
JJAGMNAF_00017	BHNFMJIF_02478	100.000	232	1	232	1	696	3.07e-173	473	232	699	100
JJAGMNAF_00017	BHNFMJIF_01562	40.444	225	3	227	4	675	2.91e-63	194	232	684	97
JJAGMNAF_00017	BHNFMJIF_02098	36.000	225	5	223	4	678	9.53e-47	152	232	702	94
JJAGMNAF_00017	BHNFMJIF_02571	38.839	224	6	224	13	672	1.21e-41	139	232	690	94
JJAGMNAF_00017	BHNFMJIF_00140	29.956	227	5	228	1	672	5.77e-28	103	232	678	97
JJAGMNAF_00018	BHNFMJIF_02477	100.000	532	1	532	1	1596	0.0	1035	532	1599	100
JJAGMNAF_00018	BHNFMJIF_01561	34.694	245	292	527	814	1533	2.17e-39	147	532	1539	44
JJAGMNAF_00018	BHNFMJIF_01733	31.915	235	295	528	2437	3117	1.22e-28	118	532	3987	44
JJAGMNAF_00018	BHNFMJIF_02097	28.750	240	292	527	664	1368	1.07e-25	107	532	1386	44
JJAGMNAF_00018	BHNFMJIF_03222	30.172	232	297	526	781	1461	8.16e-25	104	532	1470	43
JJAGMNAF_00019	BHNFMJIF_02476	99.861	719	1	719	1	2157	0.0	1459	719	2160	100
JJAGMNAF_00019	BHNFMJIF_02123	31.774	727	1	714	1	2103	1.52e-121	377	719	2118	99
JJAGMNAF_00019	BHNFMJIF_02027	22.319	690	9	698	7	1839	5.50e-39	150	719	1926	96
JJAGMNAF_00019	BHNFMJIF_02418	24.681	470	10	468	25	1371	3.61e-24	104	719	1569	64
JJAGMNAF_00019	BHNFMJIF_01973	30.769	143	8	150	7	429	3.94e-14	72.8	719	1803	20
JJAGMNAF_00020	BHNFMJIF_02475	100.000	48	1	48	1	144	6.36e-23	78.6	48	147	100
JJAGMNAF_00021	BHNFMJIF_02474	99.468	376	1	376	1	1128	0.0	785	376	1131	100
JJAGMNAF_00023	BHNFMJIF_01815	38.902	419	8	408	7	1242	6.40e-87	280	413	2655	97
JJAGMNAF_00023	BHNFMJIF_02916	37.438	406	14	408	7	1170	5.72e-80	260	413	2565	96
JJAGMNAF_00023	BHNFMJIF_00608	25.610	328	14	317	55	1020	4.02e-20	90.1	413	3354	74
JJAGMNAF_00023	BHNFMJIF_00903	25.784	287	16	280	76	915	6.58e-19	86.3	413	3417	64
JJAGMNAF_00023	BHNFMJIF_03619	24.556	338	15	326	166	1131	5.29e-18	83.6	413	3504	76
